Partida Numero,Nome Vencedor,Estrategia Vencedor,Numero de turnos,Numero vezes voltou inicio,Como finalizou
1,Pedro,Impulsive,1000,166,timeout
2,Pedro,Impulsive,31,6,saldo_positivo
3,Leonardo,Random,1000,168,timeout
4,Pedro,Impulsive,83,14,saldo_positivo
5,Pedro,Impulsive,1000,172,timeout
6,Leonardo,Random,57,9,saldo_positivo
7,Pedro,Impulsive,1000,165,timeout
8,Pedro,Impulsive,84,14,saldo_positivo
9,Pedro,Impulsive,1000,167,timeout
10,Pedro,Impulsive,1000,169,timeout
11,Pedro,Impulsive,41,6,saldo_positivo
12,Pedro,Impulsive,155,26,saldo_positivo
13,Pedro,Impulsive,31,4,saldo_positivo
14,Pedro,Impulsive,1000,168,timeout
15,Pedro,Impulsive,357,57,saldo_positivo
16,Pedro,Impulsive,25,3,saldo_positivo
17,Pedro,Impulsive,1000,165,timeout
18,Pedro,Impulsive,1000,167,timeout
19,Leonardo,Random,1000,162,timeout
20,Leonardo,Random,1000,164,timeout
21,Jaque,Demanding,1000,169,timeout
22,Leonardo,Random,1000,168,timeout
23,Leonardo,Random,1000,165,timeout
24,Jaque,Demanding,1000,166,timeout
25,Pedro,Impulsive,38,6,saldo_positivo
26,Pedro,Impulsive,30,5,saldo_positivo
27,Pedro,Impulsive,46,7,saldo_positivo
28,Jaque,Demanding,1000,163,timeout
29,Leonardo,Random,1000,162,timeout
30,Pedro,Impulsive,80,14,saldo_positivo
31,Pedro,Impulsive,67,10,saldo_positivo
32,Leonardo,Random,56,10,saldo_positivo
33,Leonardo,Random,1000,165,timeout
34,Pedro,Impulsive,1000,173,timeout
35,Jaque,Demanding,1000,174,timeout
36,Leonardo,Random,1000,172,timeout
37,Leonardo,Random,1000,166,timeout
38,Leonardo,Random,1000,169,timeout
39,Pedro,Impulsive,71,11,saldo_positivo
40,Pedro,Impulsive,1000,165,timeout
41,Pedro,Impulsive,96,16,saldo_positivo
42,Pedro,Impulsive,118,19,saldo_positivo
43,Jaque,Demanding,1000,171,timeout
44,Jaque,Demanding,1000,168,timeout
